SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
PRF;0.5;0.0;40pos;24;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;40pos;32;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;40pos;48;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;40pos;64;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;40pos;8;5;0.9769;0.9575;-0.0194
PRF;0.5;0.0;60pos;12;5;0.9588;0.8638;-0.0950
PRF;0.5;0.0;60pos;24;5;0.9704;0.9115;-0.0589
PRF;0.5;0.0;60pos;36;5;0.9901;0.9843;-0.0058
PRF;0.5;0.0;60pos;48;5;0.9921;0.9921;+0.0000
PRF;0.5;0.0;60pos;72;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;60pos;96;5;1.0000;1.0000;+0.0000
PRF;0.5;0.1;1;10;5;0.8386;0.7587;-0.0798
PRF;0.5;0.1;1;20;5;0.9032;0.8886;-0.0146
PRF;0.5;0.1;1;30;5;0.9801;0.9540;-0.0262
PRF;0.5;0.1;1;40;5;0.9781;0.9721;-0.0059
PRF;0.5;0.1;1;60;5;0.9861;0.9822;-0.0039
PRF;0.5;0.1;1;80;5;0.9861;0.9781;-0.0080
PRF;0.5;0.1;40pos;16;5;0.9646;0.9545;-0.0100
PRF;0.5;0.1;40pos;24;5;0.9701;0.9140;-0.0561
PRF;0.5;0.1;40pos;32;4;0.7430;0.7351;-0.0079
PRF;0.5;0.1;40pos;48;3;0.8736;0.8736;+0.0000
PRF;0.5;0.1;40pos;64;5;0.9861;0.9861;+0.0000
PRF;0.5;0.1;40pos;8;5;0.7866;0.6143;-0.1723
PRF;0.5;0.1;60pos;12;4;0.6436;0.5084;-0.1351
PRF;0.5;0.1;60pos;24;5;0.9527;0.8311;-0.1215
PRF;0.5;0.1;60pos;36;5;0.9661;0.8880;-0.0781
PRF;0.5;0.1;60pos;48;5;0.9801;0.9681;-0.0120
PRF;0.5;0.1;60pos;72;5;0.9821;0.9745;-0.0076
PRF;0.5;0.1;60pos;96;5;0.9761;0.9630;-0.0132
PRF;0.5;0.2;1;10;5;0.5514;0.4703;-0.0811
PRF;0.5;0.2;1;20;5;0.5581;0.5779;+0.0198
